timestamp	frame_idx	gaze_pos_vid_x	gaze_pos_vid_y	gaze_dir_l_x	gaze_dir_l_y	gaze_dir_l_z	gaze_dir_r_x	gaze_dir_r_y	gaze_dir_r_z	gaze_pos_3d_x	gaze_pos_3d_y	gaze_pos_3d_z	Vergence	gaze_ori_l_x	gaze_ori_l_y	gaze_ori_l_z	gaze_ori_r_x	gaze_ori_r_y	gaze_ori_r_z
4.16992188	0	708.69681197	220.43796141	0.24081078	0.02806573	0.97016621	0.13661848	0.08274224	0.98716211	110.25823653	20.39753646	546.51433229	0.10294897	-25.81803322	-10.37724400	-12.77727985	30.41567039	-11.78973484	-12.43093109
11.98242188	1	707.94843682	219.56034600	0.24027354	0.02724262	0.97032285	0.13624600	0.08167183	0.98730278	109.65103656	19.74724978	544.81285810	0.10328011	-25.82490921	-10.38918495	-12.77540016	30.41916847	-11.79788971	-12.42924309
20.03906250	1	707.85057105	219.37751104	0.24107949	0.02711715	0.97012645	0.13613875	0.08133062	0.98734570	109.41256583	19.48495582	542.48732328	0.10369013	-25.81958199	-10.39189148	-12.77775669	30.42172050	-11.80115891	-12.42872810
28.09570312	1	707.46150795	218.90419208	0.24186827	0.02712014	0.96992999	0.13563794	0.08023767	0.98750407	108.95503312	19.01612058	539.67946768	0.10420258	-25.81270790	-10.39076805	-12.78011417	30.41959763	-11.81365299	-12.42682743
36.15234375	1	707.45963904	219.48318447	0.24187845	0.02709569	0.96992815	0.13645275	0.08140232	0.98729646	108.80488902	19.23295483	537.60766983	0.10456566	-25.81403923	-10.39378071	-12.78013706	30.42715454	-11.80206776	-12.42931938
43.96484375	1	707.29152374	220.18092465	0.24113637	0.02778144	0.97009355	0.13718206	0.08215512	0.98713303	108.64759982	19.60058697	536.78911924	0.10471386	-25.82085800	-10.38937855	-12.77815151	30.43336296	-11.79595757	-12.43128014
52.02148438	2	707.64562389	220.95476204	0.24070017	0.02844627	0.97018260	0.13831209	0.08311504	0.98689497	108.88366401	20.07660270	536.91852093	0.10467059	-25.82167053	-10.38526344	-12.77708340	30.43888474	-11.78969669	-12.43413734
60.07812500	2	707.64271526	221.15716224	0.24078174	0.02824737	0.97016817	0.13819522	0.08374247	0.98685831	108.89013857	20.20418271	536.99928522	0.10465499	-25.82043076	-10.38970089	-12.77725601	30.43424988	-11.78516674	-12.43457699
68.13476562	2	706.86288421	221.67870829	0.23993498	0.02971216	0.97033417	0.13733333	0.08339783	0.98700780	108.43369365	20.53474076	537.24557161	0.10464091	-25.83151245	-10.37616730	-12.77526379	30.42668724	-11.78784466	-12.43278313
76.19140625	2	707.04219430	221.65008030	0.24125017	0.03036551	0.96998781	0.13684486	0.08263806	0.98713952	108.45886171	20.44101432	536.10432148	0.10483687	-25.81595802	-10.37213326	-12.77942085	30.42386436	-11.79559422	-12.43120193
84.00390625	3	706.79246887	221.74622296	0.24080203	0.03147200	0.97006387	0.13698374	0.08171880	0.98719680	108.26779157	20.46377398	535.58546305	0.10493962	-25.82411766	-10.36221313	-12.77850819	30.43262482	-11.80277348	-12.43051529
92.06054688	3	706.30448973	221.67815231	0.23988621	0.03138805	0.97029346	0.13684653	0.08167238	0.98721963	107.97452182	20.42878233	535.68428755	0.10494319	-25.83374405	-10.36296749	-12.77575302	30.43695641	-11.80457306	-12.43024063
100.11718750	3	705.69045961	221.05436910	0.23876333	0.03068016	0.97059304	0.13643807	0.08110319	0.98732311	107.63596743	20.09348199	536.30548716	0.10486243	-25.84244537	-10.37044811	-12.77215767	30.43764877	-11.81257439	-12.42899895
108.17382812	3	706.01641050	222.13437351	0.24024513	0.03126465	0.97020864	0.13602465	0.08274849	0.98724359	107.77866095	20.68159543	535.36224365	0.10501000	-25.82671738	-10.36327744	-12.77677059	30.43179703	-11.79744339	-12.42995358
115.98632812	4	705.21805856	221.37476606	0.23910379	0.03017133	0.97052515	0.13552997	0.08225609	0.98735279	107.27475584	20.21789365	535.28445959	0.10506298	-25.84123611	-10.37366581	-12.77297306	30.42903900	-11.80070210	-12.42864323
124.04296875	4	705.60288861	223.25735435	0.23875690	0.03409489	0.97048062	0.13652889	0.08230218	0.98721135	107.56171495	21.38187364	535.71003675	0.10495762	-25.84587479	-10.33088303	-12.77350712	30.44334412	-11.79770565	-12.43033981
132.09960938	4	705.51008065	222.79602719	0.23869114	0.03375562	0.97050869	0.13623014	0.08168807	0.98730361	107.53004253	21.13189176	536.12500429	0.10489052	-25.84938812	-10.33592796	-12.77316952	30.44418335	-11.80074978	-12.42923355
140.15625000	5	704.89518219	222.74234074	0.23768538	0.03401837	0.97074634	0.13565144	0.08135304	0.98741096	107.20638931	21.15115523	536.89134121	0.10478007	-25.85801125	-10.33440304	-12.77031803	30.44221115	-11.80267143	-12.42794514
