,sum,sum,sum,sum
,Goals,Goals,Goals,Goals
Position,C,D,LW,RW
Team,,,,
ANA,59,23,52,62
ARI,105,31,14,59
BOS,119,31,68,39
BUF,130,35,24,32
CAR,60,48,74,61
CBJ,40,37,88,91
CGY,132,45,101,11
CHI,93,40,49,85
COL,110,39,71,38
DAL,84,41,40,44
DET,100,33,48,43
EDM,135,30,16,48
FLA,155,38,31,40
LAK,78,28,57,36
MIN,74,44,72,20
MTL,82,42,76,46
NJD,106,31,38,44
NSH,127,43,51,15
NYI,131,30,31,31
NYR,113,32,54,22
OTT,100,41,64,37
PHI,113,35,50,43
PIT,164,32,12,63
SJS,140,28,30,91
STL,119,46,46,33
TBL,200,43,15,61
TOR,161,45,26,54
VAN,87,27,60,45
VEG,113,38,41,54
WPG,76,34,90,70
WSH,99,35,90,50
